pde_loss,bc_loss,total_loss
6.069665431976318,10.355586051940918,109.62552642822266
2.8408098220825195,2.596344470977783,28.80425262451172
2.769075393676758,0.9976396560668945,12.745471954345703
2.626142740249634,0.4521503448486328,7.147645950317383
2.262288808822632,0.5159990191459656,7.422279357910156
1.9198052883148193,0.3080971837043762,5.000777244567871
1.6718432903289795,0.3350062072277069,5.021905422210693
1.326673150062561,0.3092194199562073,4.418867111206055
0.9917704463005066,0.22024321556091309,3.1942026615142822
0.7477986812591553,0.20452091097831726,2.7930078506469727
0.551098644733429,0.1846211552619934,2.397310256958008
0.41116929054260254,0.1495027244091034,1.9061965942382812
0.33275648951530457,0.09449237585067749,1.2776802778244019
0.27124834060668945,0.07917100191116333,1.0629583597183228
0.22038576006889343,0.06449019908905029,0.8652877807617188
0.2065165638923645,0.04896658658981323,0.6961824297904968
0.22586371004581451,0.05080024525523186,0.7338661551475525
0.22032377123832703,0.059945471584796906,0.8197784423828125
0.17971624433994293,0.0394139401614666,0.5738556385040283
0.13027839362621307,0.030158571898937225,0.4318641424179077
0.09350337833166122,0.038383107632398605,0.47733446955680847
0.08305380493402481,0.0354192852973938,0.4372466504573822
0.08877357840538025,0.030200131237506866,0.3907748758792877
0.08383895456790924,0.04050040990114212,0.48884302377700806
0.07933114469051361,0.02758157067000866,0.3551468253135681
0.08227331191301346,0.03272194042801857,0.40949270129203796
0.08194344490766525,0.02926076203584671,0.37455105781555176
0.08489923924207687,0.03787009418010712,0.46360018849372864
0.09950201958417892,0.0263730026781559,0.3632320463657379
0.11935309320688248,0.026876017451286316,0.38811326026916504
0.12311514467000961,0.029225947335362434,0.41537463665008545
0.10763530433177948,0.01996704936027527,0.30730581283569336
0.09099484235048294,0.017000602558255196,0.2610008716583252
0.08524931222200394,0.020585674792528152,0.29110604524612427
0.07799911499023438,0.019071605056524277,0.26871517300605774
0.07210896164178848,0.023899545893073082,0.311104416847229
0.06811723858118057,0.02014579251408577,0.2695751488208771
0.0680648684501648,0.025004666298627853,0.3181115388870239
0.06701622158288956,0.02433232218027115,0.31033945083618164
0.06485893577337265,0.017375139519572258,0.23861032724380493
0.06907402724027634,0.013206729665398598,0.2011413276195526
0.07937227934598923,0.019484076648950577,0.274213045835495
0.08220899850130081,0.014360146597027779,0.2258104681968689
0.07805171608924866,0.018598586320877075,0.2640375792980194
0.07720969617366791,0.01612045243382454,0.2384142130613327
0.08109160512685776,0.019689084962010384,0.2779824435710907
0.07708966732025146,0.015392901375889778,0.23101867735385895
0.06946541368961334,0.014764660969376564,0.21711201965808868
0.06618616729974747,0.012539632618427277,0.19158250093460083
0.0663585439324379,0.01911759003996849,0.2575344443321228
0.061392661184072495,0.015071946196258068,0.21211212873458862
0.05551169812679291,0.018006522208452225,0.23557691276073456
0.055828504264354706,0.017104890197515488,0.22687742114067078
0.061028946191072464,0.013146698474884033,0.1924959272146225
